   Year   Month     Day SSN
    2014       1       1      76
    2014       1       2      94
    2014       1       3     101
    2014       1       4      84
    2014       1       5      90
    2014       1       6      98
    2014       1       7      80
    2014       1       8      79
    2014       1       9      82
    2014       1      10      92
    2014       1      11      93
    2014       1      12      87
    2014       1      13      75
    2014       1      14      66
    2014       1      15      59
    2014       1      16      56
    2014       1      17      52
    2014       1      18      76
    2014       1      19      79
    2014       1      20      96
    2014       1      21     102
    2014       1      22     107
    2014       1      23      91
    2014       1      24      73
    2014       1      25      67
    2014       1      26      52
    2014       1      27      46
    2014       1      28      55
    2014       1      29      66
    2014       1      30      65
    2014       1      31      61
    2014       2       1      65
    2014       2       2      79
    2014       2       3      85
    2014       2       4      95
    2014       2       5     104
    2014       2       6     108
    2014       2       7     103
    2014       2       8     103
    2014       2       9      99
    2014       2      10      93
    2014       2      11     104
    2014       2      12     101
    2014       2      13      91
    2014       2      14      80
    2014       2      15      72
    2014       2      16      64
    2014       2      17      77
    2014       2      18      83
    2014       2      19      80
    2014       2      20      88
    2014       2      21      84
    2014       2      22      92
    2014       2      23      99
    2014       2      24      98
    2014       2      25     107
    2014       2      26     125
    2014       2      27     134
    2014       2      28     117
    2014       3       1     105
    2014       3       2     105
    2014       3       3     104
    2014       3       4      93
    2014       3       5      89
    2014       3       6      84
    2014       3       7      87
    2014       3       8      75
    2014       3       9      66
    2014       3      10      72
    2014       3      11      75
    2014       3      12      81
    2014       3      13      66
    2014       3      14      70
    2014       3      15      77
    2014       3      16      67
    2014       3      17      67
    2014       3      18      86
    2014       3      19      90
    2014       3      20      93
    2014       3      21      85
    2014       3      22      96
    2014       3      23      94
    2014       3      24      83
    2014       3      25      81
    2014       3      26      73
    2014       3      27      66
    2014       3      28      72
    2014       3      29      67
    2014       3      30      64
    2014       3      31      75
    2014       4       1      69
    2014       4       2      83
    2014       4       3      95
    2014       4       4      98
    2014       4       5      88
    2014       4       6      87
    2014       4       7      77
    2014       4       8      80
    2014       4       9      52
    2014       4      10      43
    2014       4      11      47
    2014       4      12      47
    2014       4      13      56
    2014       4      14      82
    2014       4      15     102
    2014       4      16     124
    2014       4      17     128
    2014       4      18     124
    2014       4      19     124
    2014       4      20     124
    2014       4      21     102
    2014       4      22      76
    2014       4      23      55
    2014       4      24      49
    2014       4      25      37
    2014       4      26      31
    2014       4      27      52
    2014       4      28      56
    2014       4      29      57
    2014       4      30      61
    2014       5       1      62
    2014       5       2      75
    2014       5       3      82
    2014       5       4      85
    2014       5       5      91
    2014       5       6      92
    2014       5       7      83
    2014       5       8      80
    2014       5       9      85
    2014       5      10      79
    2014       5      11      99
    2014       5      12     101
    2014       5      13      91
    2014       5      14     104
    2014       5      15      98
    2014       5      16      90
    2014       5      17      94
    2014       5      18      70
    2014       5      19      57
    2014       5      20      58
    2014       5      21      60
    2014       5      22      42
    2014       5      23      61
    2014       5      24      70
    2014       5      25      74
    2014       5      26      60
    2014       5      27      48
    2014       5      28      44
    2014       5      29      31
    2014       5      30      37
    2014       5      31      38
    2014       6       1      42
    2014       6       2      43
    2014       6       3      47
    2014       6       4      46
    2014       6       5      57
    2014       6       6      83
    2014       6       7      90
    2014       6       8      97
    2014       6       9     109
    2014       6      10     104
    2014       6      11     115
    2014       6      12     130
    2014       6      13     115
    2014       6      14      86
    2014       6      15      51
    2014       6      16      59
    2014       6      17      66
    2014       6      18      71
    2014       6      19      60
    2014       6      20      56
    2014       6      21      62
    2014       6      22      54
    2014       6      23      34
    2014       6      24      29
    2014       6      25      34
    2014       6      26      39
    2014       6      27      40
    2014       6      28      44
    2014       6      29      65
    2014       6      30      89
    2014       7       1      96
    2014       7       2     109
    2014       7       3     126
    2014       7       4     125
    2014       7       5     132
    2014       7       6     141
    2014       7       7     134
    2014       7       8     129
    2014       7       9     124
    2014       7      10     117
    2014       7      11     105
    2014       7      12      88
    2014       7      13      61
    2014       7      14      39
    2014       7      15      15
    2014       7      16       3
    2014       7      17       1
    2014       7      18      14
    2014       7      19      24
    2014       7      20      23
    2014       7      21      13
    2014       7      22      29
    2014       7      23      43
    2014       7      24      49
    2014       7      25      38
    2014       7      26      45
    2014       7      27      64
    2014       7      28      80
    2014       7      29      94
    2014       7      30      87
    2014       7      31      99
    2014       8       1     105
    2014       8       2     107
    2014       8       3     100
    2014       8       4      94
    2014       8       5      83
    2014       8       6      82
    2014       8       7      77
    2014       8       8      58
    2014       8       9      46
    2014       8      10      43
    2014       8      11      49
    2014       8      12      51
    2014       8      13      52
    2014       8      14      57
    2014       8      15      68
    2014       8      16      77
    2014       8      17      79
    2014       8      18      72
    2014       8      19      68
    2014       8      20      72
    2014       8      21      84
    2014       8      22      89
    2014       8      23      95
    2014       8      24      95
    2014       8      25      73
    2014       8      26      61
    2014       8      27      58
    2014       8      28      52
    2014       8      29      46
    2014       8      30      54
    2014       8      31      60
    2014       9       1      69
    2014       9       2      71
    2014       9       3      70
    2014       9       4      81
    2014       9       5      82
    2014       9       6      93
    2014       9       7     101
    2014       9       8     103
    2014       9       9     112
    2014       9      10     103
    2014       9      11      94
    2014       9      12      87
    2014       9      13      77
    2014       9      14      63
    2014       9      15      65
    2014       9      16      65
    2014       9      17      67
    2014       9      18      52
    2014       9      19      49
    2014       9      20      48
    2014       9      21      61
    2014       9      22      71
    2014       9      23      73
    2014       9      24      72
    2014       9      25      90
    2014       9      26     109
    2014       9      27     114
    2014       9      28     129
    2014       9      29     115
    2014       9      30     111
    2014      10       1      91
    2014      10       2      77
    2014      10       3      77
    2014      10       4      67
    2014      10       5      59
    2014      10       6      47
    2014      10       7      45
    2014      10       8      44
    2014      10       9      36
    2014      10      10      25
    2014      10      11      17
    2014      10      12      21
    2014      10      13      27
    2014      10      14      53
    2014      10      15      46
    2014      10      16      30
    2014      10      17      40
    2014      10      18      44
    2014      10      19      61
    2014      10      20      73
    2014      10      21      75
    2014      10      22      90
    2014      10      23      93
    2014      10      24      98
    2014      10      25      99
    2014      10      26      86
    2014      10      27      72
    2014      10      28      66
    2014      10      29      66
    2014      10      30      68
    2014      10      31      53
    2014      11       1      60
    2014      11       2      62
    2014      11       3      69
    2014      11       4      70
    2014      11       5      77
    2014      11       6      61
    2014      11       7      59
    2014      11       8      56
    2014      11       9      47
    2014      11      10      46
    2014      11      11      58
    2014      11      12      65
    2014      11      13      70
    2014      11      14      71
    2014      11      15      66
    2014      11      16      62
    2014      11      17      55
    2014      11      18      49
    2014      11      19      46
    2014      11      20      50
    2014      11      21      45
    2014      11      22      52
    2014      11      23      59
    2014      11      24      68
    2014      11      25      79
    2014      11      26      79
    2014      11      27      94
    2014      11      28      95
    2014      11      29     100
    2014      11      30     100
    2014      12       1      90
    2014      12       2      80
    2014      12       3      79
    2014      12       4      60
    2014      12       5      44
    2014      12       6      34
    2014      12       7      38
    2014      12       8      44
    2014      12       9      50
    2014      12      10      63
    2014      12      11      77
    2014      12      12      84
    2014      12      13      95
    2014      12      14     110
    2014      12      15     114
    2014      12      16     119
    2014      12      17     118
    2014      12      18     102
    2014      12      19     108
    2014      12      20     100
    2014      12      21      93
    2014      12      22      78
    2014      12      23      73
    2014      12      24      63
    2014      12      25      62
    2014      12      26      53
    2014      12      27      62
    2014      12      28      63
    2014      12      29      62
    2014      12      30      60
    2014      12      31      68
