Year,Month,Day,SSN
2014,1,1,76
2014,1,2,94
2014,1,3,101
2014,1,4,84
2014,1,5,90
2014,1,6,98
2014,1,7,80
2014,1,8,79
2014,1,9,82
2014,1,10,92
2014,1,11,93
2014,1,12,87
2014,1,13,75
2014,1,14,66
2014,1,15,59
2014,1,16,56
2014,1,17,52
2014,1,18,76
2014,1,19,79
2014,1,20,96
2014,1,21,102
2014,1,22,107
2014,1,23,91
2014,1,24,73
2014,1,25,67
2014,1,26,52
2014,1,27,46
2014,1,28,55
2014,1,29,66
2014,1,30,65
2014,1,31,61
2014,2,1,65
2014,2,2,79
2014,2,3,85
2014,2,4,95
2014,2,5,104
2014,2,6,108
2014,2,7,103
2014,2,8,103
2014,2,9,99
2014,2,10,93
2014,2,11,104
2014,2,12,101
2014,2,13,91
2014,2,14,80
2014,2,15,72
2014,2,16,64
2014,2,17,77
2014,2,18,83
2014,2,19,80
2014,2,20,88
2014,2,21,84
2014,2,22,92
2014,2,23,99
2014,2,24,98
2014,2,25,107
2014,2,26,125
2014,2,27,134
2014,2,28,117
